Formats of outputs:
Average heat flux at top junction
Average heat flux at bottom junction
Average upper flange temperature
Average web temperature
Average lower flange temperature
kuf-web
kweb-lf
Time
-3.20544758620689e-18,-1.00654268965517e-17,-2.60721510344827e-17,-3.12493924489796e-16,-8.98752701677419e-15,-3.01069018e-13,-1.001978728125e-11,-2.89717421875e-10,-4.7770054875e-09,6.384701625e-08,2.47283175000001e-07,7.138230375e-07,1.66130615e-06,2.9187428625e-06,4.7815835e-06,7.38951887499999e-06,1.0877025e-05,1.536955875e-05,2.09810025e-05,2.78119625e-05,3.595080625e-05,4.547315e-05,5.45375625e-05,6.466155625e-05,7.58743062500001e-05,8.82002375000001e-05,0.00010166040625,0.000116272575,0.000132051525,0.00014900925,0.000167156,0.0001865018125,0.000207054,0.00022881925,0.00025180425,0.0002760134375,0.000301453625,0.0003281316875,0.0003560528125,0.000385223125,0.00041565025,0.0004473419375,0.000480306375,0.0005145533125,0.000550091999999999,0.0005869360625,0.0006250975625,0.0006645878125,0.0007054258125,0.000747626125000001,0.000791206812499999,0.00083618525,0.000882584,0.000930424249999999,0.000971999,0.0010146366875,0.0010583584375,0.0011031774375,0.001149108125,0.0011961726875,0.001244385,0.001293780625,0.001344359375,0.001396168125,0.001449194375,0.00150349875,0.001559086875,0.00161598625,0.00167423375,0.0017338375,0.001794844375,0.001857276875,0.001921168125,0.0019865375,0.00205343875,0.00212188625,0.002191915625,0.002263570625,0.002336883125,0.002411888125,0.002488626875,0.002567131875,0.00264745,0.002729616875,0.002813676875,0.00289966875,0.00298763875,0.003077631875,0.003169683125,0.003263851875,0.003360176875,0.003458704375,0.0035594925,0.00366258125,0.003768015,0.00387586125,0.003986161875,0.004098971875,0.00421434,0.004332324375,0.00445297937500001,0.004576361875,0.004702535625,0.004831546875,0.0049634325,0.00512796,0.00529667375,0.005469390625,0.005645883125,0.00587353875000001,0.006105829375,0.00634197,0.006581240625,0.00688445375,0.007189945625,0.007496635625,0.00780364374999999,0.00817768375,0.008549879375,0.008919464375,0.009285899375,0.00975272124999999,0.01021308875,0.010666829375,0.011232036875,0.011786950625,0.01233199,0.013034175,0.01372211875,0.0143971625,0.01529155,0.01616875,0.0170314625,0.01812629375,0.019205775,0.02027115,0.0215850125,0.02287423125,0.02413981875,0.02574930625,0.0273300375,0.028888525,0.030429725,0.0319524375,0.03344979375,0.0349185,0.03700914375,0.03904665625,0.04103918125,0.0429864625,0.04488446875,0.0467339,0.0490763125,0.05134288125,0.0535056625,0.0555568562500001,0.057505325,0.059366075,0.0611479,0.0628564875,0.0644981625,0.0660804,0.0677354,0.0693340875000001,0.07088306875,0.0723798500000001,0.0738315,0.07523979375,0.07660590625,0.07793635,0.0792300125,0.0804871187499999,0.081701475,0.082860925,0.0839572125,0.0849964812500001,0.0860835125000001,0.0871072625,0.08807799375,0.0889945687499999,0.0898601625,0.09068333125,0.091461275,0.0921940687499999,0.09295726875,0.09367114375,0.0943408374999999,0.0949727312499999,0.0955618625,0.0961144187499999,0.0966239875000001,0.09709361875,0.097566475,0.09799965625,0.0983915375,0.0987424874999999,0.09905969375,0.0993391750000001,0.09958255625,0.09982074375,0.1000176625,0.10018005625,0.10030855,0.1004046375,0.10046836875,0.1005037625,0.1005077125,0.10047981875,0.10042351875,0.1003401875,0.10022673125,0.1000755,0.0998983312499999,0.09969145,0.0994636937499999,0.09921315625,0.09894283125,0.0986188625,0.0982797000000001,0.09792559375,0.09756243125,0.097184975,0.09673896875,0.0962558687500001,0.09572500625,0.0951304562500001,0.0944448375,0.0934576937499999,0.09217545,0.0905605125,0.0886390999999999,0.0862014,0.0835439125,0.0807631250000001,0.07796036875,0.0751766625,0.0725286625,0.0700185,0.067649225,0.06541465625,0.0633077625000001,0.06131943125,0.0594492375,0.057710075,0.0561098562500001,0.0546545625,0.05333265,0.0521319625,0.0510441375,0.05006585,0.0491892625,0.0484128,0.04773820625,0.04716664375,0.04670445625,0.04636373125,0.0461593,0.0461265625,0.0463061499999999,0.04676196875,0.04759729375,0.04898645625,0.051201675,0.054665125,0.059832175,0.06666833125,0.07421955,0.08107888125,0.0861699,0.08926165,0.0907775625,0.0915837125000001,0.09219344375,0.0926508499999999,0.09295760625,0.0931615625,0.0932479062500001,0.0932417375,0.0931581625,0.0930037375,0.0927886999999999,0.0925035874999999,0.0921626625000001,0.0917783125,0.0913462375000001,0.0908750874999999,0.0903609499999999,0.0898158000000001,0.0892475249999999,0.088655075,0.0880439375000001,0.0874166500000001,0.0867771499999999,0.0861270125,0.0854687124999999,0.0848026500000001,0.084134,0.0834568625,0.082783425,0.0821027375,0.0814207499999999,0.0807393875,0.08005925,0.079375,0.0786954,0.0780158750000001,0.0773391625,0.0766637624999999,0.0759906875,0.07532165,0.074656975,0.0739932125,0.0733357375000001,0.0726820874999999,0.0720325374999999,0.0713871,0.0707478375,0.07011145,0.0694805,0.068857225,0.0682365375,0.0676237125,0.067015,0.0664128875,0.065815975,0.065225125,0.0646411249999999,0.0640615875,0.0634879125000001,0.0629212624999999,0.0623604375,0.0621016124999999
3.20544758620689e-18,1.00654268965517e-17,2.60721510344827e-17,3.12493924489796e-16,8.98752701677419e-15,3.01069018e-13,1.0023126125e-11,2.9772148125e-10,7.4962540625e-09,1.51785475e-07,3.82953375e-07,8.06689750000001e-07,1.498577625e-06,2.310025e-06,3.403765625e-06,4.829093125e-06,6.63517000000001e-06,8.870405625e-06,1.158199375e-05,1.48152025e-05,1.8613425e-05,2.30179125e-05,2.71919e-05,3.18439625e-05,3.69951625e-05,4.2665525e-05,4.887365625e-05,5.56371875e-05,6.29724875e-05,7.089476875e-05,7.941875e-05,8.85572875000001e-05,9.832295e-05,0.0001087270125,0.0001197816,0.0001314933625,0.000143875625,0.0001569341875,0.0001706763125,0.00018511275,0.000200247125,0.000216088,0.0002326398125,0.00024990875,0.0002678986875,0.0002866158125,0.0003060634375,0.000326247125,0.0003471691875,0.000368832125,0.0003912404375,0.0004143976875,0.000438304625,0.000462963875,0.0004843945625,0.0005063674375,0.000528884125,0.000551945187499999,0.0005755508125,0.000599703125000001,0.0006243998125,0.000649643437499999,0.0006754363125,0.000701774187500001,0.0007286584375,0.000756089624999999,0.0007840681875,0.0008125904375,0.0008416593125,0.0008712731875,0.00090142875,0.0009321280625,0.000963367875000001,0.0009951454375,0.0010274690625,0.001060326625,0.00109371625,0.0011276430625,0.001162097375,0.0011970821875,0.0012325989375,0.00126864125,0.0013052,0.001342281875,0.0013798725,0.00141799,0.0014566125,0.001495745625,0.001535375625,0.001575516875,0.001616156875,0.0016572825,0.001698905,0.001741015,0.001783608125,0.001826681875,0.001870233125,0.001914253125,0.00195873875,0.002003691875,0.002049105625,0.00209497,0.002141279375,0.0021880025,0.0022351175,0.00229291,0.00235117,0.002409843125,0.00246886625,0.00254363,0.002618694375,0.002693943125,0.002769260625,0.00286351625,0.002957518125,0.00305110375,0.00314414,0.00325674,0.00336816562500001,0.003478290625,0.003587025,0.003724866875,0.00386015875,0.003992860625,0.00415709625,0.004317185625,0.004473218125,0.0046720125,0.004864344375,0.005050560625,0.00529239875,0.00552463125,0.00574802375,0.00602321375,0.006286525,0.00653878687499999,0.006839350625,0.007125180625,0.007397701875,0.00773225875,0.008050189375,0.00835387125,0.00864535125,0.0089259075,0.009195963125,0.009456170625,0.009818691875,0.010165716875,0.0104996325,0.01082117375,0.011130629375,0.011428840625,0.011802243125,0.012161005,0.012502189375,0.01282636625,0.01313516875,0.01343090625,0.01371545,0.01399045625,0.01425701875,0.0145162625,0.01478898125,0.01505264375,0.015308025,0.0155557125,0.0157962,0.01602998125,0.01625735625,0.01647868125,0.0166943,0.0169044,0.01710775625,0.01730295625,0.0174901125,0.01767010625,0.01786203125,0.01804711875,0.01822620625,0.01839981875,0.018568575,0.0187327875,0.01889243125,0.01904705,0.01920984375,0.019367025,0.01951896875,0.01966595625,0.01980811875,0.0199452125,0.0200775875,0.020205575,0.02034265,0.02047530625,0.0206039375,0.02072889375,0.02085043125,0.02096886875,0.02108449375,0.02120925,0.021330125,0.02144654375,0.02155875,0.0216670625,0.02177180625,0.02188390625,0.0219922,0.022097225,0.02219899375,0.02229799375,0.0223942375,0.0224989375,0.022600725,0.02269980625,0.02279594375,0.0228886875,0.022978175,0.0230756125,0.02316948125,0.0232601875,0.02334780625,0.02343269375,0.02352416875,0.02361250625,0.0236978875,0.0237804375,0.02386,0.02394786875,0.02403165625,0.02411150625,0.0241876375,0.02426745,0.02434293125,0.02441415625,0.02448114375,0.02454408125,0.024602975,0.02465788125,0.0247088375,0.0247558,0.02479876875,0.024837725,0.02487265,0.02490346875,0.0249303625,0.02495375,0.02497418125,0.024991375,0.0250053125,0.02501583125,0.02502288125,0.0250264,0.0250263375,0.02502270625,0.02501555625,0.025005425,0.024992975,0.0249779375,0.02496015625,0.02493949375,0.02491594375,0.02488938125,0.0248597125,0.02482695625,0.0247910125,0.0247522375,0.024711325,0.02466890625,0.024624675,0.02457850625,0.02453028125,0.02447989375,0.024427225,0.024372325,0.02431506875,0.02425539375,0.024193475,0.02412965,0.02406479375,0.02399908125,0.0239325375,0.02386480625,0.0237957875,0.0237255125,0.0236538375,0.02358068125,0.02350601875,0.0234298375,0.02335208125,0.023272925,0.02319294375,0.0231128,0.02303265625,0.02295231875,0.0228716625,0.0227907,0.02270915,0.02262699375,0.02254426875,0.02246078125,0.02237669375,0.02229175,0.022206,0.02211963125,0.02203308125,0.0219466875,0.0218608875,0.02177536875,0.0216901625,0.021605075,0.02151993125,0.02143484375,0.02134966875,0.0212642875,0.02117876875,0.02109303125,0.0210069375,0.02092060625,0.0208339,0.02074714375,0.0206606375,0.02057466875,0.020489575,0.0204050625,0.0203211375,0.020237575,0.0201543625,0.02007140625,0.01998868125,0.01990601875,0.01982345,0.01978534375
